CIK,YEARA,P_AAER,UNDERSTATEMENT
900339,1993,1301,0
1160110,2008,3528,0
1160110,2009,3528,0
1160110,2010,3528,0
1160110,2011,3528,0
57139,2006,3297,0
1321847,2009,3401,0
1321847,2010,3401,0
2135,1995,3182,0
2135,1996,3182,0
2135,1997,3182,0
2135,1998,3182,0
2135,1999,3182,0
2135,2000,3182,0
2135,2001,3182,0
2135,2002,3182,0
2135,2003,3182,0
2135,2004,3182,0
2135,2005,3182,0
2135,2009,3578,0
2463,1980,60,0
2491,2003,2885,0
3116,2000,1921,0
3449,1994,1331,0
3449,1995,1331,0
3662,1996,1393,1
3662,1997,1393,0
3905,1989,775,0
3906,2001,2618,0
3906,2002,2618,0
4107,1981,27,0
4962,1981,452,0
4962,1982,452,0
5272,2000,2145,0
5272,2001,2145,0
5272,2002,2145,0
5272,2003,2145,0
6284,2001,3784,0
6284,2002,3784,0
6284,2003,3784,0
6284,2004,3784,0
6284,2005,3784,0
6284,2006,3784,0
6284,2007,3784,0
6284,2008,3784,0
6284,2009,3784,0
6284,2010,3784,0
8868,1999,1595,0
12152,1982,47,0
12570,1989,422,0
13055,2009,3492,0
14272,2000,2075,0
14272,2001,2075,0
16926,1992,1106,0
16926,1993,1106,0
18498,2000,1930,0
18621,1989,485,0
21344,1997,2232,0
21344,1998,2232,0
21344,1999,2232,0
21759,1992,623,0
23026,1981,119,0
23026,1982,119,0
23082,2009,3662,0
23082,2010,3662,0
23082,2011,3662,0
23217,1999,2628,0
23217,2000,2628,0
23217,2001,2628,0
23217,2002,2628,0
23217,2003,2628,0
23217,2004,2628,0
23217,2005,2628,0
25095,1997,1727,0
25095,1998,1727,1
25095,1999,1727,1
26172,1997,2370,0
26172,1998,2370,0
26172,1999,2370,0
26172,2000,2370,1
26172,2001,2370,0
26172,2002,2370,1
26780,2004,3048,0
27748,1997,2027,0
27748,1998,2027,0
27748,1999,2027,0
27960,2008,3572,0
28823,2002,3137,0
28823,2003,3137,0
28823,2004,3137,0
28823,2005,3137,0
28823,2006,3137,0
28823,2007,3137,0
28864,1981,45,0
28864,1982,45,0
29534,1998,2225,0
29534,1999,2225,0
29534,2000,2225,0
29693,1994,1104,0
29693,1995,1104,0
29850,1980,30,0
29850,1981,30,0
29915,1996,2555,0
29915,1997,2555,0
29915,1998,2555,0
29915,1999,2555,0
29915,2000,2555,0
29915,2001,2555,0
30780,1994,1149,0
30780,1995,1149,0
32120,1984,196,0
32160,1989,483,0
35214,2003,2717,0
35527,2008,3514,0
36161,1983,134,0
36570,1982,23,0
40545,2002,3029,0
40545,2003,3029,0
40562,1983,83,0
40570,2009,3689,0
40573,2009,3689,0
41133,1999,1987,0
41133,2000,1987,0
42284,2001,2530,0
45012,1998,2072,0
46431,1978,19,0
47059,1978,2,0
47059,1979,2,0
47059,1980,2,0
49196,2001,2251,0
49196,2002,2251,0
49534,2007,3351,0
49534,2008,3351,0
49534,2009,3351,0
49534,2010,3351,0
49728,2012,3782,0
50441,1982,108,0
50493,2002,2422,0
50493,2003,2422,0
51124,1996,2094,0
51124,1997,2094,0
51143,2000,2623,0
51143,2001,2623,0
51497,1993,967,0
51644,1997,2819,0
51644,1998,2819,0
51644,1999,2819,0
51644,2000,2819,0
51644,2001,2819,0
51644,2002,2819,0
51644,2003,2819,0
52477,1999,2066,0
54175,1995,1169,0
54175,1996,1169,0
54235,1988,448,0
54235,1989,448,0
55037,1983,139,0
55037,1984,139,0
55785,1995,1533,0
55785,1996,1533,0
55785,1997,1533,0
55785,1998,1533,0
56701,2005,3180,1
56701,2006,3180,1
56701,2007,3180,1
56701,2008,3180,1
56701,2009,3180,1
56873,1998,1960,0
56873,1999,1960,0
58930,1983,216,0
58930,1984,216,0
58930,1985,216,0
59870,1992,684,0
59870,1993,684,0
59880,1971,16,0
59880,1972,16,0
59880,1973,16,0
59880,1974,16,0
59880,1975,16,0
59880,1976,16,0
59880,1977,16,0
59880,1978,16,0
60714,2004,3015,0
60911,1998,1564,0
61426,1983,161,0
62709,1983,124,0
63917,1990,797,0
67516,1989,682,0
69999,1984,77,0
70318,1989,573,0
70318,1990,573,0
70318,2000,2591,0
70318,2001,2591,0
70318,2002,2591,0
70318,2003,2591,0
70318,2004,2591,0
70578,1992,1378,0
70578,1993,1378,0
70578,1994,1378,0
70578,1995,1378,0
70578,1996,1378,0
71829,2002,3055,0
71829,2003,3055,0
71829,2004,3055,0
71829,2005,3055,0
72020,1999,1923,0
72020,2000,1923,0
72020,2001,1923,0
72127,2000,2839,0
72127,2001,2839,0
72127,2002,2839,0
72127,2003,2839,0
72127,2004,2839,0
72127,2005,2839,0
72911,2000,2576,0
72911,2001,2576,0
72911,2002,2576,0
73088,2001,2601,0
73377,1980,17,0
73377,1981,17,1
73568,1982,63,0
73568,1995,1328,0
73887,2000,2727,0
73887,2001,2727,0
73887,2002,2727,0
73887,2003,2727,0
73887,2004,2727,0
75362,2009,3462,0
76348,2011,3504,0
77155,2001,2719,0
77155,2002,2719,0
77155,2003,2719,0
77476,1979,65,0
77476,1980,65,0
77476,1981,65,0
77628,1992,1037,0
77628,1993,1037,1
79388,1985,223,0
80124,1989,416,0
80124,1990,416,0
80124,1991,416,0
80630,1988,659,1
80630,1989,659,0
80630,1990,659,0
84112,1982,199,0
84112,1983,199,0
84112,1984,199,0
84129,1998,1579,0
84129,1999,1579,0
84655,1985,212,0
85981,1978,52,0
85981,1979,52,0
85981,1980,52,0
85981,1981,52,0
85981,1982,52,0
85981,1983,52,0
88121,1995,1470,0
88121,1996,1470,0
88121,1997,1470,0
88121,1998,1470,0
88121,1999,1470,0
88974,1994,1017,1
88974,1995,1017,0
89807,1991,893,0
89807,1992,893,0
89807,1993,893,0
89807,1994,893,0
90350,1986,203,0
93566,1999,2478,0
93566,2000,2478,0
93566,2001,2478,0
93813,1982,35,0
94673,1982,125,0
94673,1983,125,0
94673,1984,125,0
95395,1980,262,0
95395,1981,262,0
95395,1982,262,0
95395,1983,262,0
95395,1984,262,0
95395,1985,262,0
95395,1986,262,0
97216,1989,1126,0
97216,1990,1126,0
97216,1991,1126,0
97216,2000,3035,0
97216,2001,3035,0
97216,2002,3035,0
97216,2003,3035,0
97409,1984,146,0
97854,1999,1747,0
98222,2002,2730,0
99429,1989,556,0
99771,2010,3706,0
99771,2011,3706,0
100817,1989,389,1
100817,1990,389,0
101788,1979,22,0
101788,1980,22,0
101788,1981,22,0
102379,1987,258,0
103872,2007,3439,0
104938,1992,2313,0
104938,1993,2313,0
104938,1994,2313,0
104938,1995,2313,0
104938,1996,2313,0
105634,1991,715,0
108772,1997,1542,0
108772,1998,1542,0
108772,1999,1542,0
108772,2000,1542,0
109156,2004,3270,0
109156,2005,3270,0
109156,2006,3270,0
109156,2007,3270,0
109156,2008,3270,0
109413,1983,49,0
109471,1999,2126,0
109471,2000,2126,0
109471,2001,2126,0
109471,2002,2126,0
109831,1996,1154,0
215219,2001,2863,0
215219,2002,2863,0
215219,2003,2863,0
215219,2004,2863,0
216228,2001,2934,0
216228,2002,2934,0
216228,2003,2934,0
216228,2004,2934,0
216228,2005,2934,0
225457,1979,79,0
225457,1980,79,0
225457,1981,79,0
225457,1982,79,0
225868,2000,2137,0
276400,2003,3069,0
276894,1980,80,0
276894,1981,80,0
276894,1982,80,0
276894,1983,80,0
276894,1984,80,0
277317,1987,280,0
277809,1994,786,0
277809,1995,786,0
278130,1994,1303,0
278352,1998,1803,0
278352,1999,1803,0
278352,2000,1803,0
278352,2001,1803,0
278352,2002,1803,0
310377,1997,1696,0
310377,1998,1696,0
310522,1998,2433,0
310522,1999,2433,0
310522,2000,2433,0
310522,2001,2433,0
310522,2002,2433,0
310522,2003,2433,0
311172,1998,1813,0
311657,1984,121,0
313023,1979,5,0
313368,1994,1240,0
313413,1980,81,0
313413,1981,81,0
314202,1983,236,0
314202,1984,236,0
314474,1985,541,0
314474,1986,541,0
314474,1987,541,0
316004,1984,213,0
319546,1979,67,0
319546,1980,67,0
319546,1982,67,0
320193,2001,2880,0
320193,2002,2880,0
351038,1979,20,0
351038,1980,20,0
351038,1981,20,0
351038,1982,20,0
352079,2004,3123,1
352079,2006,3123,1
352383,1989,522,0
352495,1996,1511,0
352495,1997,1511,0
352800,1982,78,0
352949,2001,2314,0
352998,1995,1518,0
352998,1996,1518,0
353217,1988,553,0
353646,1997,1516,0
353646,1998,1516,0
353646,1999,1516,0
354396,1984,182,0
354908,1998,1637,0
356028,1999,1948,0
356226,1991,943,0
356226,1992,943,0
356309,1992,1002,0
356395,1986,529,0
700711,1981,179,0
700711,1982,179,0
701719,2009,3558,0
701719,2010,3558,0
701856,1999,1689,0
702167,1982,175,0
704175,1990,906,0
704175,1991,906,0
704292,1991,843,0
704292,1992,843,0
704700,1983,131,0
706860,1982,137,0
706860,1983,137,0
710507,2003,2930,1
710507,2004,2930,0
710507,2005,2930,0
710507,2006,2930,0
710507,2007,2930,0
711307,1983,99,0
711307,1984,99,0
711665,1992,971,0
714593,1989,683,0
714593,1990,683,0
714593,1991,683,0
714921,1986,308,0
714921,1987,308,0
715805,1989,594,0
716612,1983,184,0
716612,1984,184,0
718388,1984,271,0
718388,1985,271,0
718388,1986,271,0
718396,1998,2062,0
718396,1999,2062,0
718909,1997,1940,0
718909,1998,1940,0
718909,1999,1940,0
718909,2000,1940,0
718909,2001,1940,0
719613,1984,190,0
719704,1985,145,0
720481,1992,999,0
720481,1993,999,0
720577,1994,1110,0
720577,1995,1110,0
720695,1989,745,0
721171,1987,264,0
721171,1988,264,0
721371,2001,2654,0
721371,2002,2654,0
721371,2003,2654,0
721688,1986,343,0
721688,1987,343,0
722057,1987,421,1
723527,1999,1977,0
723527,2000,1977,0
723527,2001,1977,0
723574,1985,229,0
723574,1986,229,0
723612,1995,1272,0
723612,1996,1272,0
723612,1997,1272,0
724051,1998,1762,0
724051,1999,1762,0
724391,2010,3795,0
725476,1986,619,0
725476,1987,619,0
725476,1988,619,0
726513,2002,2434,0
726513,2003,2434,0
726602,1991,612,0
726602,1992,612,0
726606,1991,762,0
726712,1991,778,0
726712,1992,778,0
727207,1998,1209,0
729600,2007,3125,0
729602,1985,282,0
729602,1986,282,0
729638,1984,162,0
730255,1999,1995,0
730263,1996,1190,0
730263,1997,1190,0
730263,2003,3280,0
730263,2004,3280,0
730263,2005,3280,0
730263,2006,3280,0
731012,1990,823,0
731012,1991,823,0
731306,1988,542,0
731306,1989,542,0
731306,1990,542,0
731308,1986,325,0
731308,1987,325,0
731308,1988,325,0
731336,1988,508,0
731336,1989,508,0
731336,1990,508,0
731714,1985,771,0
731714,1986,771,0
731766,1994,2754,0
731766,1995,2754,0
731766,1996,2754,0
731766,1997,2754,0
